mass_ratio,xsec
0.02,5.32024e-40
0.04,5.20509e-40
0.06,5.09049e-40
0.08,4.97654e-40
0.1,4.86335e-40
0.12,4.75101e-40
0.14,4.63963e-40
0.16,4.52928e-40
0.18,4.42005e-40
0.2,4.31202e-40
0.22,4.20525e-40
0.24,4.0998e-40
0.26,3.99574e-40
0.28,3.89311e-40
0.3,3.79196e-40
0.32,3.69233e-40
0.34,3.59427e-40
0.36,3.49779e-40
0.38,3.40293e-40
0.4,3.30971e-40
0.42,3.21815e-40
0.44,3.12827e-40
0.46,3.04007e-40
0.48,2.95356e-40
0.5,2.86876e-40
0.52,2.78566e-40
0.54,2.70426e-40
0.56,2.62455e-40
0.58,2.54655e-40
0.6,2.47023e-40
0.62,2.39559e-40
0.64,2.32262e-40
0.66,2.2513e-40
0.68,2.18163e-40
0.7,2.11359e-40
0.72,2.04717e-40
0.74,1.9824e-40
0.76,1.91926e-40
0.78,1.85766e-40
0.8,1.7976e-40
0.82,1.73905e-40
0.84,1.682e-40
0.86,1.62642e-40
0.88,1.5723e-40
0.9,1.51961e-40
0.92,1.46952e-40
0.94,1.42077e-40
0.96,1.37327e-40
0.98,1.327e-40
1.0,1.28195e-40
